Player,Networks
76561198207184619,"['10.net', '400.net', '240.net']"
76561198208823028,"['10.net', '400.net', '240.net']"
76561198209258795,"['10.net', '400.net', '240.net']"
76561198210749689,"['10.net', '400.net', '240.net']"
76561198212534332,"['10.net', '400.net', '240.net']"
76561198213517555,"['10.net', '400.net', '240.net']"
76561198214016693,"['10.net', '400.net', '240.net']"
76561198214202736,"['10.net', '400.net', '240.net']"
76561198214357488,"['10.net', '400.net', '240.net']"
76561198214571067,"['10.net', '400.net', '240.net']"
76561198215754123,"['10.net', '400.net', '240.net']"
76561198216182441,"['10.net', '400.net', '240.net']"
76561198217272416,"['10.net', '400.net', '240.net']"
76561198219263673,"['10.net', '400.net', '240.net']"
76561198219977223,"['10.net', '400.net', '240.net']"
76561198228468060,"['10.net', '400.net', '240.net']"
76561198229944244,"['10.net', '400.net', '240.net']"
76561198232100960,"['10.net', '400.net', '240.net']"
76561198236727636,"['10.net', '400.net', '240.net']"
76561198236734910,"['10.net', '400.net', '240.net']"
76561198236884310,"['10.net', '400.net', '240.net']"
76561198237648498,"['10.net', '400.net', '240.net']"
76561198240797186,"['10.net', '400.net', '240.net']"
76561198243230504,"['10.net', '400.net', '240.net']"
76561198243424958,"['10.net', '400.net', '240.net']"
76561198244040120,"['10.net', '400.net', '240.net']"
76561198245272734,"['10.net', '400.net', '240.net']"
